time_us,position
353,0
10122,-5
20124,-19
30127,-41
40129,-68
50132,-99
60133,-134
70136,-171
80138,-211
90140,-252
100142,-295
110145,-338
120147,-383
130149,-427
140151,-473
150154,-519
160156,-565
170159,-612
180161,-659
190163,-705
200169,-753
210173,-799
220174,-847
230176,-894
240178,-942
250181,-989
260183,-1037
270185,-1085
280187,-1132
290190,-1180
300192,-1227
310194,-1275
320196,-1322
330199,-1370
340201,-1418
350204,-1466
360206,-1514
370209,-1561
380210,-1609
390213,-1657
400215,-1704
410218,-1752
420220,-1800
430222,-1848
440224,-1896
450227,-1944
460229,-1992
470231,-2040
480233,-2088
490236,-2136
500238,-2184
510240,-2232
520242,-2280
530246,-2329
540247,-2377
550249,-2425
560251,-2473
570254,-2521
580256,-2569
590259,-2617
600261,-2665
610263,-2713
620265,-2761
630268,-2809
640271,-2858
650254,-2906
660276,-2954
670277,-3002
680280,-3050
690283,-3098
700285,-3146
710286,-3194
720289,-3242
730272,-3290
740294,-3338
750295,-3386
760298,-3434
770300,-3482
780303,-3531
790304,-3579
800307,-3627
810291,-3675
820312,-3723
830314,-3771
840317,-3819
850319,-3867
860321,-3915
870323,-3963
880326,-4011
890309,-4059
900331,-4107
910332,-4155
920335,-4203
930336,-4251
940340,-4299
950341,-4347
960344,-4395
970327,-4443
980349,-4491
990350,-4539
1000353,-4588
1010356,-4636
1020358,-4684
1030359,-4732
1040362,-4781
1050345,-4829
1060367,-4877
1070369,-4926
1080372,-4974
1090373,-5022
1100376,-5070
1110378,-5119
1120381,-5167
1130364,-5215
1140385,-5264
1150387,-5312
1160390,-5361
1170396,-5409
1180398,-5457
1190998,-5510
1200000,-5554
1210005,-5602
1220008,-5651
1230012,-5699
1240017,-5747
1250023,-5796
1260029,-5844
1270031,-5892
1280034,-5941
1290026,-5989
1300040,-6038
1310043,-6086
1320045,-6134
1330049,-6183
1340051,-6231
1350053,-6280
1360056,-6329
1370039,-6377
1380060,-6426
1390063,-6475
1400068,-6523
1410071,-6572
1420073,-6621
1430075,-6669
1440077,-6718
1450058,-6766
1460082,-6815
1470084,-6863
1480086,-6912
1490088,-6961
1500091,-7009
1510093,-7058
1520095,-7106
1530080,-7155
1540100,-7203
1550102,-7252
1560104,-7301
1570107,-7350
1580109,-7398
1590111,-7447
1600113,-7496
1610097,-7545
1620118,-7593
1630121,-7642
1640123,-7690
1650125,-7739
1660127,-7788
1670130,-7836
1680132,-7885
1690116,-7934
1700137,-7982
1710139,-8031
1720141,-8079
1730143,-8128
1740146,-8177
1750148,-8225
1760150,-8274
1770134,-8322
1780154,-8371
1790157,-8419
1800159,-8468
1810161,-8517
1820163,-8566
1830166,-8614
1840168,-8663
1850152,-8711
1860173,-8760
1870175,-8808
1880177,-8857
1890179,-8906
1900182,-8954
1910184,-9002
1920186,-9051
1930170,-9100
1940191,-9149
1950193,-9197
1960195,-9246
1970198,-9295
1980200,-9344
1990202,-9393
2000204,-9441
