time_us,position
571,0
10339,-2
20342,-9
30344,-18
40346,-30
50348,-43
60351,-58
70353,-74
80355,-91
90358,-108
100360,-126
110362,-145
120365,-163
130367,-182
140370,-201
150372,-220
160374,-240
170376,-259
180379,-279
190381,-299
200383,-319
210394,-338
220395,-359
230398,-379
240998,-401
250001,-419
260006,-439
270010,-459
280014,-479
290018,-499
300024,-519
310027,-540
320029,-560
330032,-580
340035,-600
350039,-621
360042,-641
370043,-661
380047,-681
390049,-701
400052,-722
410055,-742
420056,-762
430059,-782
440060,-803
450064,-823
460068,-843
470071,-864
480073,-884
490075,-904
500078,-925
510080,-945
520084,-965
530084,-986
540087,-1006
550089,-1026
560092,-1046
570094,-1067
580096,-1087
590099,-1107
600100,-1128
610103,-1149
620105,-1169
630108,-1189
640109,-1209
650111,-1230
660115,-1250
670116,-1271
680120,-1291
690120,-1311
700124,-1332
710125,-1352
720128,-1372
730130,-1393
740132,-1413
750135,-1433
760136,-1454
770139,-1474
780141,-1494
790144,-1514
800145,-1535
810148,-1555
820151,-1575
830152,-1596
840156,-1617
850157,-1637
860160,-1657
870161,-1678
880164,-1698
890167,-1718
900168,-1739
910171,-1759
920173,-1779
930176,-1800
940177,-1820
950180,-1841
960182,-1861
970184,-1881
980187,-1901
990189,-1922
1000193,-1942
1010193,-1963
1020196,-1983
1030198,-2003
1040201,-2024
1050203,-2044
1060204,-2065
1070208,-2085
1080209,-2105
1090212,-2126
1100213,-2146
1110217,-2166
1120218,-2187
1130220,-2207
1140223,-2227
1150225,-2248
1160229,-2268
1170229,-2289
1180232,-2309
1190234,-2330
1200237,-2350
1210221,-2370
1220241,-2390
1230244,-2411
1240245,-2431
1250248,-2451
1260250,-2472
1270253,-2493
1280254,-2513
1290238,-2533
1300260,-2554
1310261,-2574
1320265,-2594
1330266,-2615
1340269,-2635
1350271,-2655
1360274,-2676
1370257,-2696
1380278,-2717
1390281,-2737
1400283,-2757
1410285,-2778
1420287,-2798
1430290,-2819
1440292,-2839
1450276,-2859
1460296,-2880
1470298,-2900
1480302,-2921
1490303,-2941
1500305,-2962
1510307,-2982
1520310,-3002
1530294,-3023
1540314,-3043
1550317,-3064
1560319,-3084
1570321,-3105
1580323,-3125
1590326,-3146
1600328,-3166
1610312,-3187
1620333,-3207
1630335,-3227
1640338,-3248
1650340,-3268
1660342,-3289
1670344,-3309
1680346,-3330
1690330,-3350
1700351,-3371
1710353,-3391
1720356,-3411
1730358,-3432
1740360,-3453
1750362,-3473
1760365,-3494
1770349,-3514
1780369,-3534
1790371,-3555
1800374,-3575
1810379,-3595
1820382,-3616
1830384,-3636
1840386,-3657
1850367,-3677
1860376,-3698
1870378,-3718
1880395,-3738
1890397,-3759
1901007,-3781
1910000,-3799
1920004,-3820
1930008,-3840
1940012,-3861
1950016,-3881
1960023,-3902
1970030,-3922
1980033,-3942
1990035,-3962
2000039,-3983
