time_us,position
258,0
10028,-4
20031,-15
30033,-31
40035,-50
50040,-73
60042,-98
70044,-125
80047,-153
90051,-183
100052,-213
110055,-244
120057,-276
130060,-308
140061,-341
150064,-374
160069,-407
170073,-440
180074,-474
190077,-508
200082,-542
210085,-576
220087,-610
230090,-644
240091,-679
250095,-713
260096,-747
270099,-782
280101,-816
290104,-850
300105,-885
310108,-919
320110,-954
330113,-988
340114,-1023
350118,-1058
360119,-1092
370122,-1126
380123,-1161
390127,-1196
400128,-1231
410131,-1265
420133,-1300
430136,-1334
440137,-1369
450140,-1404
460142,-1438
470145,-1473
480146,-1508
490150,-1543
500151,-1577
510154,-1612
520156,-1646
530159,-1681
540160,-1716
550163,-1750
560165,-1785
570168,-1819
580169,-1854
590172,-1889
600174,-1924
610177,-1958
620178,-1993
630181,-2027
640183,-2062
650168,-2097
660188,-2131
670191,-2166
680192,-2201
690195,-2236
700197,-2270
710200,-2305
720201,-2340
730186,-2374
740206,-2409
750209,-2443
760210,-2479
770214,-2513
780215,-2548
790218,-2582
800219,-2617
810204,-2652
820224,-2686
830227,-2721
840229,-2756
850232,-2791
860233,-2826
870236,-2860
880238,-2895
890223,-2930
900243,-2965
910246,-2999
920247,-3034
930250,-3069
940252,-3103
950255,-3139
960256,-3173
970241,-3208
980261,-3243
990264,-3277
1000265,-3312
1010269,-3347
1020271,-3381
1030273,-3416
1040275,-3451
1050259,-3486
1060280,-3520
1070283,-3555
1080285,-3590
1090287,-3624
1100289,-3659
1110292,-3694
1120294,-3728
1130278,-3763
1140298,-3798
1150301,-3833
1160303,-3868
1170305,-3902
1180307,-3937
1190310,-3972
1200312,-4006
1210296,-4041
1220298,-4076
1230319,-4111
1240321,-4146
1250324,-4180
1260326,-4215
1270328,-4250
1280330,-4285
1290314,-4319
1300316,-4354
1310338,-4389
1320340,-4423
1330342,-4459
1340344,-4493
1350347,-4528
1360349,-4563
1370333,-4597
1380335,-4632
1390356,-4667
1400358,-4701
1410360,-4736
1420362,-4771
1430365,-4806
1440367,-4840
1450351,-4875
1460353,-4910
1470374,-4945
1480376,-4980
1490379,-5014
1500381,-5049
1510383,-5084
1520386,-5119
1530369,-5154
1540371,-5188
1550386,-5223
1560399,-5258
1570998,-5296
1580001,-5327
1590006,-5362
1600010,-5397
1610014,-5432
1620018,-5467
1630024,-5501
1640031,-5536
1650033,-5571
1660038,-5606
1670040,-5640
1680042,-5675
1690027,-5710
1700043,-5745
1710047,-5779
1720052,-5815
1730055,-5849
1740057,-5884
1750060,-5919
1760062,-5954
1770051,-5988
1780063,-6023
1790072,-6058
1800075,-6093
1810076,-6128
1820079,-6163
1830081,-6198
1840084,-6233
1850070,-6268
1860087,-6303
1870091,-6338
1880092,-6373
1890095,-6408
1900096,-6443
1910100,-6478
1920102,-6512
1930085,-6547
1940106,-6583
1950108,-6617
1960111,-6652
1970112,-6687
1980115,-6722
1990117,-6757
2000120,-6792
