time_us,position
610,0
10379,-3
20382,-12
30383,-24
40386,-40
50388,-58
60395,-78
70396,-100
80400,-122
91000,-149
100004,-170
110007,-195
120011,-220
130014,-246
140019,-272
150025,-298
160027,-324
170031,-351
180033,-377
190035,-404
200040,-432
210042,-459
220044,-486
230047,-513
240051,-540
250053,-568
260054,-595
270058,-622
280059,-650
290062,-677
300063,-705
310070,-732
320071,-760
330074,-787
340077,-815
350078,-842
360081,-870
370083,-898
380086,-925
390087,-953
400090,-980
410093,-1008
420094,-1036
430097,-1063
440099,-1091
450102,-1118
460103,-1146
470106,-1174
480108,-1202
490110,-1229
500113,-1257
510114,-1285
520118,-1313
530119,-1340
540122,-1368
550123,-1396
560127,-1423
570129,-1451
580130,-1479
590133,-1506
600135,-1534
610138,-1562
620139,-1590
630142,-1618
640144,-1646
650146,-1673
660149,-1701
670151,-1729
680154,-1757
690155,-1784
700158,-1812
710160,-1840
720163,-1867
730165,-1895
740167,-1923
750170,-1950
760171,-1978
770174,-2006
780176,-2033
790179,-2061
800180,-2089
810183,-2117
820186,-2145
830187,-2173
840190,-2200
850192,-2228
860195,-2256
870196,-2283
880199,-2311
890202,-2339
900203,-2367
910206,-2394
920207,-2422
930211,-2450
940212,-2478
950215,-2506
960216,-2533
970219,-2561
980222,-2589
990223,-2617
1000226,-2645
1010228,-2672
1020231,-2700
1030232,-2728
1040235,-2756
1050238,-2784
1060239,-2811
1070242,-2839
1080244,-2867
1090247,-2895
1100248,-2922
1110251,-2950
1120253,-2978
1130255,-3006
1140258,-3034
1150260,-3062
1160263,-3089
1170264,-3117
1180267,-3145
1190270,-3173
1200272,-3201
1210256,-3229
1220277,-3257
1230279,-3284
1240281,-3312
1250284,-3340
1260286,-3368
1270288,-3396
1280290,-3424
1290274,-3452
1300295,-3480
1310297,-3508
1320299,-3536
1330301,-3564
1340304,-3591
1350306,-3619
1360308,-3647
1370293,-3675
1380313,-3703
1390315,-3731
1400317,-3759
1410320,-3786
1420322,-3815
1430324,-3843
1440326,-3870
1450310,-3898
1460331,-3926
1470333,-3954
1480336,-3982
1490338,-4010
1500340,-4038
1510342,-4066
1520345,-4094
1530329,-4122
1540349,-4150
1550352,-4178
1560354,-4205
1570356,-4233
1580358,-4261
1590361,-4289
1600363,-4317
1610347,-4345
1620368,-4373
1630370,-4401
1640372,-4429
1650374,-4457
1660377,-4485
1670382,-4513
1680384,-4541
1690365,-4569
1700378,-4597
1710391,-4625
1720394,-4652
1730396,-4681
1740398,-4709
1750998,-4739
1760001,-4764
1770004,-4792
1780008,-4820
1790012,-4848
1800017,-4876
1810023,-4904
1820030,-4932
1830033,-4960
1840035,-4987
1850026,-5015
1860042,-5043
1870054,-5071
1880048,-5099
1890050,-5127
1900053,-5155
1910055,-5183
1920057,-5211
1930039,-5239
1940061,-5267
1950064,-5295
1960069,-5323
1970072,-5351
1980073,-5379
1990076,-5407
2000078,-5435
