time_us,position
308,0
10076,-4
20079,-17
30081,-36
40084,-60
50085,-87
60088,-117
70090,-149
80093,-184
90095,-219
100098,-256
110099,-293
120102,-331
130104,-370
140107,-409
150108,-449
160111,-489
170113,-529
180116,-570
190117,-610
200124,-652
210126,-693
220129,-734
230130,-776
240133,-817
250135,-860
260138,-901
270140,-943
280143,-985
290144,-1027
300147,-1069
310149,-1111
320152,-1153
330153,-1195
340157,-1237
350158,-1280
360161,-1322
370162,-1364
380166,-1406
390167,-1448
400170,-1490
410172,-1532
420175,-1574
430176,-1616
440179,-1658
450181,-1700
460184,-1742
470185,-1785
480188,-1827
490190,-1869
500193,-1911
510195,-1954
520198,-1996
530199,-2038
540202,-2080
550204,-2122
560207,-2165
570208,-2207
580211,-2249
590213,-2291
600216,-2334
610217,-2376
620220,-2418
630222,-2461
640225,-2503
650208,-2545
660230,-2588
670231,-2630
680234,-2673
690236,-2715
700239,-2757
710240,-2800
720243,-2842
730226,-2884
740248,-2927
750249,-2969
760253,-3011
770254,-3053
780257,-3096
790258,-3138
800262,-3180
810245,-3222
820266,-3265
830269,-3307
840271,-3349
850273,-3392
860276,-3434
870278,-3476
880280,-3518
890263,-3561
900285,-3603
910287,-3646
920290,-3688
930292,-3730
940294,-3773
950296,-3815
960299,-3857
970282,-3900
980303,-3942
990305,-3985
1000308,-4027
1010310,-4069
1020312,-4112
1030314,-4154
1040317,-4197
1050301,-4239
1060322,-4281
1070324,-4324
1080326,-4366
1090328,-4408
1100331,-4450
1110333,-4493
1120335,-4535
1130319,-4577
1140340,-4619
1150342,-4661
1160344,-4703
1170346,-4745
1180349,-4788
1190351,-4830
1200353,-4872
1210337,-4914
1220340,-4957
1230360,-4999
1240363,-5041
1250365,-5084
1260367,-5126
1270369,-5169
1280372,-5211
1290355,-5254
1300358,-5296
1310379,-5338
1320381,-5381
1330383,-5423
1340386,-5465
1350388,-5508
1360390,-5550
1371000,-5596
1380003,-5634
1390007,-5677
1400010,-5719
1410014,-5761
1420019,-5803
1430028,-5845
1440031,-5888
1450027,-5929
1460038,-5972
1470040,-6013
1480042,-6056
1490044,-6098
1500048,-6141
1510050,-6183
1520053,-6225
1530033,-6268
1540057,-6310
1550060,-6352
1560061,-6395
1570064,-6437
1580069,-6479
1590072,-6522
1600075,-6564
1610055,-6606
1620078,-6649
1630082,-6691
1640083,-6733
1650086,-6776
1660087,-6818
1670091,-6860
1680092,-6902
1690076,-6945
1700097,-6987
1710099,-7030
1720102,-7072
1730103,-7114
1740106,-7156
1750108,-7198
1760111,-7240
1770096,-7282
1780115,-7324
1790118,-7367
1800119,-7409
1810122,-7451
1820124,-7493
1830127,-7535
1840128,-7577
1850112,-7620
1860134,-7662
1870135,-7704
1880138,-7746
1890140,-7789
1900143,-7831
1910144,-7873
1920147,-7915
1930132,-7957
1940151,-8000
1950154,-8041
1960156,-8084
1970159,-8125
1980160,-8168
1990163,-8210
2000165,-8252
