time_us,position
807,0
10243,-1
20236,-2
30238,-4
40241,-7
50243,-10
60245,-13
70247,-17
80250,-22
90252,-26
100254,-30
110256,-35
120259,-39
130261,-44
140263,-49
150266,-54
160268,-59
170270,-64
180273,-69
190275,-73
200277,-78
210279,-84
220282,-89
230284,-94
240286,-99
250289,-104
260291,-109
270293,-115
280296,-120
290298,-125
300300,-130
310303,-136
320305,-141
330307,-146
340309,-152
350311,-157
360314,-162
370317,-167
380318,-173
390320,-178
400323,-183
410325,-189
420328,-194
430330,-200
440332,-205
450334,-210
460337,-216
470340,-221
480341,-226
490343,-232
500346,-237
510348,-242
520350,-248
530352,-253
540355,-259
550357,-264
560359,-270
570362,-275
580777,-279
590993,-286
600997,-292
610000,-297
620004,-302
630009,-308
640016,-313
650019,-318
660023,-324
670025,-329
680028,-335
690031,-340
700034,-346
710036,-351
720039,-357
730042,-362
740045,-368
750047,-373
760049,-378
770051,-384
780054,-389
790056,-395
800061,-400
810064,-406
820066,-412
830068,-417
840101,-422
850073,-428
860075,-433
870077,-439
880079,-445
890082,-450
900084,-456
910086,-461
920089,-467
930091,-472
940093,-478
950095,-483
960098,-489
970100,-494
980102,-500
990105,-505
1000107,-511
1010109,-517
1020111,-522
1030114,-528
1040116,-533
1050118,-539
1060120,-545
1070122,-550
1080125,-556
1090127,-561
1100129,-567
1110131,-573
1120134,-578
1130136,-584
1140138,-589
1150141,-595
1160143,-601
1170145,-606
1180147,-612
1190150,-617
1200152,-623
1210136,-628
1220157,-634
1230159,-640
1240161,-645
1250163,-651
1260166,-657
1270168,-662
1280170,-668
1290154,-673
1300175,-679
1310177,-685
1320179,-690
1330182,-696
1340184,-702
1350186,-707
1360188,-713
1370172,-718
1380193,-724
1390195,-730
1400198,-735
1410200,-741
1420202,-746
1430204,-752
1440207,-758
1450191,-764
1460211,-769
1470213,-775
1480215,-781
1490218,-786
1500220,-792
1510222,-797
1520224,-803
1530209,-809
1540232,-814
1550234,-820
1560237,-826
1570239,-831
1580241,-837
1590243,-842
1600246,-848
1610227,-854
1620229,-860
1630253,-865
1640255,-871
1650257,-877
1660260,-882
1670263,-888
1680264,-894
1690248,-899
1700250,-905
1710272,-911
1720274,-916
1730277,-922
1740278,-928
1750281,-933
1760283,-939
1770267,-945
1780269,-950
1790291,-956
1800292,-962
1810295,-968
1820296,-973
1830299,-979
1840301,-985
1850286,-990
1860287,-996
1870290,-1002
1880310,-1007
1890313,-1013
1900315,-1019
1910318,-1024
1920319,-1030
1930304,-1036
1940305,-1041
1950308,-1047
1960329,-1053
1970332,-1058
1980333,-1064
1990336,-1070
2000338,-1076
