time_us,position
393,0
10162,-6
20164,-22
30166,-46
40168,-76
50171,-112
60174,-151
70175,-193
80177,-238
90180,-285
100182,-333
110185,-382
120187,-432
130189,-483
140191,-534
150194,-585
160196,-638
170198,-690
180200,-743
190203,-797
200209,-850
210211,-904
220214,-958
230216,-1013
240218,-1067
250221,-1122
260223,-1176
270225,-1230
280227,-1285
290230,-1340
300232,-1395
310234,-1450
320236,-1505
330239,-1560
340241,-1615
350243,-1670
360245,-1725
370248,-1781
380251,-1836
390252,-1891
400254,-1947
410257,-2002
420259,-2057
430262,-2113
440264,-2168
450266,-2223
460269,-2279
470271,-2334
480274,-2390
490276,-2445
500279,-2500
510280,-2556
520283,-2611
530285,-2667
540289,-2722
550289,-2778
560292,-2833
570294,-2889
580297,-2945
590298,-3000
600301,-3056
610303,-3112
620306,-3167
630307,-3223
640310,-3278
650294,-3334
660315,-3390
670317,-3445
680320,-3501
690321,-3556
700325,-3612
710326,-3667
720329,-3723
730312,-3778
740334,-3834
750335,-3889
760338,-3945
770339,-4001
780343,-4057
790344,-4113
800347,-4169
810330,-4225
820352,-4281
830353,-4338
840356,-4394
850358,-4450
860362,-4506
870362,-4563
880365,-4619
890348,-4675
900370,-4732
910372,-4789
920375,-4845
930376,-4902
940379,-4958
950381,-5015
960388,-5071
970367,-5128
980392,-5184
990394,-5241
1000397,-5297
1010398,-5353
1020999,-5415
1030002,-5466
1040006,-5522
1050010,-5578
1060014,-5634
1070019,-5690
1080027,-5746
1090029,-5802
1100033,-5858
1110034,-5914
1120039,-5970
1130042,-6025
1140043,-6081
1150046,-6137
1160050,-6193
1170052,-6249
1180054,-6304
1190056,-6360
1200059,-6415
1210041,-6471
1220063,-6527
1230069,-6582
1240071,-6638
1250073,-6694
1260075,-6750
1270078,-6805
1280080,-6861
1290061,-6917
1300085,-6972
1310087,-7028
1320089,-7083
1330091,-7139
1340094,-7194
1350096,-7250
1360098,-7306
1370082,-7362
1380103,-7417
1390105,-7472
1400107,-7528
1410110,-7583
1420112,-7638
1430114,-7694
1440116,-7750
1450100,-7805
1460121,-7860
1470123,-7915
1480125,-7971
1490127,-8026
1500130,-8082
1510132,-8137
1520134,-8192
1530119,-8247
1540139,-8303
1550141,-8358
1560143,-8413
1570146,-8468
1580148,-8523
1590150,-8579
1600152,-8634
1610136,-8689
1620157,-8744
1630160,-8799
1640162,-8854
1650164,-8909
1660166,-8964
1670169,-9019
1680171,-9074
1690155,-9129
1700176,-9184
1710178,-9239
1720180,-9294
1730182,-9350
1740185,-9405
1750187,-9459
1760189,-9514
1770173,-9570
1780193,-9625
1790196,-9679
1800198,-9734
1810200,-9789
1820202,-9844
1830205,-9899
1840207,-9954
1850191,-10010
1860212,-10065
1870214,-10120
1880216,-10175
1890218,-10230
1900221,-10285
1910223,-10340
1920225,-10395
1930209,-10450
1940230,-10506
1950232,-10561
1960234,-10615
1970237,-10671
1980239,-10726
1990241,-10781
2000243,-10836
